,genre,count,accuracy,f1
0,Drama,4917,0.7374415293878381,0.7990661478599221
1,Science Fiction and Fantasy,853,0.7327080890973037,0.7659137577002054
2,Comedy,3221,0.7472834523439925,0.7753863134657837
3,Action and Adventure,1912,0.7557531380753139,0.7889742431089019
4,Art House and International,511,0.776908023483366,0.8692660550458716
5,Musical and Performing Arts,338,0.6272189349112426,0.6971153846153847
6,Horror,624,0.7516025641025641,0.7359454855195912
7,Mystery and Suspense,1632,0.7426470588235294,0.8009478672985783
8,Kids and Family,618,0.7233009708737864,0.7667121418826739
9,Romance,1218,0.729064039408867,0.7868217054263565
10,Sports and Fitness,96,0.7916666666666666,0.8780487804878049
11,Western,178,0.7191011235955056,0.6835443037974683
12,Documentary,173,0.7861271676300579,0.8701754385964913
13,Special Interest,103,0.7378640776699029,0.8280254777070064
14,Animation,408,0.7647058823529411,0.813953488372093
15,Classics,49,0.7959183673469388,0.5
16,Faith and Spirituality,31,0.5483870967741935,0.4615384615384615
17,Television,38,0.7368421052631579,0.37499999999999994
